model,family,params,vision encoder,image-text fusion,LLM backbone,refusal-trained,TL bridge,tier
gemma-3-4b-it,Gemma-3,4B,SigLIP-400M,Interleaved / full-attn (image tokens in-context),Gemma-3,yes,supported,1
gemma-3-12b-it,Gemma-3,12B,SigLIP-400M,Interleaved / full-attn (image tokens in-context),Gemma-3,yes,supported,1
gemma-3-27b-it,Gemma-3,27B,SigLIP-400M,Interleaved / full-attn (image tokens in-context),Gemma-3,yes,supported,1
llava-onevision-qwen2-7b-ov-hf,LLaVA-OneVision,7B,SigLIP-SO400M,MLP projector (late fusion),Qwen2-7B,yes,supported,1
llava-onevision-qwen2-0.5b-ov-hf,LLaVA-OneVision,0.5B,SigLIP-SO400M,MLP projector (late fusion),Qwen2-0.5B,no,supported,1
Qwen3.5-4B,Qwen3.5,4B,Qwen native ViT,Native multimodal (dynamic resolution),Qwen3.5,yes,supported,1
Qwen2.5-VL-7B-Instruct,Qwen2.5-VL,7B,Qwen2.5 ViT (window attn),Dynamic-resolution + MLP merger,Qwen2.5-7B,yes,needs HF backend,2
InternVL3-8B-hf,InternVL3,8B,InternViT-300M,Pixel-shuffle + MLP projector,Qwen2.5-7B,yes,needs HF backend,2
Phi-3.5-vision-instruct,Phi-3.5-V,4.2B,CLIP ViT-L/14,LLaVA-style MLP projector,Phi-3.5-mini,yes,needs HF backend,2
idefics2-8b,Idefics2,8B,SigLIP-SO400M,Perceiver resampler (Q-former-like),Mistral-7B,yes,needs HF backend,2
